Security Code,Issuer Name,Security Id,ISIN No,Industry
530909,ERP Soft Systems Ltd.,ERPSOFT,INE308B01017,Diversified Commercial Services
530917,R.R.Securities Ltd.,RRSECUR,INE474H01014,Diversified Commercial Services
530919,Remsons Industries Ltd.,REMSONSIND,INE474C01015,Auto Components & Equipments
530925,Ramsons Projects Ltd.,RAMSONS,INE609D01014,Non Banking Financial Company (NBFC)
530929,Euro Asia Exports Ltd.,EUROASIA,INE535P01015,Trading & Distributors
530931,Stanpacks (India) Ltd.,STANPACK,INE457D01018,Packaging
530951,RAMINFO LIMITED,RAMINFO,INE357B01022,IT Enabled Services
530953,Sunil Agro Foods ltd.,SUNILAGR,INE224D01012,Other Agricultural Products
530959,Diana Tea Co.Ltd.,DIANATEA,INE012E01035,Tea & Coffee
530961,Vikas EcoTech Limited,VIKASECO,INE806A01020,Specialty Chemicals
530965,Indian Oil Corporation Ltd.,IOC,INE242A01010,Refineries & Marketing
530973,Alfa Ica (India) Ltd,ALFAICA,INE042C01010,Plastic Products - Industrial
530977,Shri Keshav Cements and Infra Limited,SKCIL,INE260E01014,Cement & Cement Products
530979,India Home Loan Limited,INDIAHOME,INE274E01015,Housing Finance Company
530991,Roopa Industries Ltd.,ROOPAIND,INE443C01010,Pharmaceuticals
530997,Unique Organics Ltd.,UNIQUEO,INE333E01019,Other Agricultural Products
530999,Balaji Amines Ltd.,BALAMINES,INE050E01027,Specialty Chemicals
531003,Swarna Securities Ltd.,SWRNASE,INE595G01018,Non Banking Financial Company (NBFC)
531017,Arihants Securities ltd.,ARISE,INE190D01015,Diversified Commercial Services
531025,Visagar Financial Services Ltd,VISAGAR,INE309H01038,Other Financial Services
531027,Libord Securities Ltd.,LIBORD,INE267E01019,Other Financial Services
531035,Justride Enterprises Limited,JRELTD,INE432F01024,2/3 Wheelers
531041,Competent Automobiles Co. Ltd.,COMPEAU,INE823B01015,Auto -Dealer
531043,Dhanvantri Jeevan Rekha Ltd.,ZDHJERK,INE239F01015,Healthcare Service Provider
531049,Neelkanth Rockminerals ltd.,NEELKAN,INE741D01015,Other Construction Materials
531051,Vintage Securities Ltd.,VINTAGES,INE153C01015,Non Banking Financial Company (NBFC)
531065,Oswal Overseas Ltd,OSWALOR,INE906K01027,Sugar
531067,Contil India Limited,CONTILI,INE080G01011,Trading & Distributors
531069,Vijay Solvex Ltd.,VIJSOLX,INE362D01010,Edible Oil
531080,Shri Krishna Devcon Limited,SHRIKRISH,INE997I01012,Residential- Commercial Projects
531082,Alankit Limited,ALANKIT,INE914E01040,Diversified Commercial Services
531083,Nihar Info Global Ltd.,NIHARINF,INE876E01033,Software Products
531091,United Credit ltd.,UNITDCR,INE858C01027,Non Banking Financial Company (NBFC)
531092,OM INFRA LIMITED,OMINFRAL,INE239D01028,Civil Construction
531109,Ishan Dyes & Chemicals Ltd.,ISHANCH,INE561M01018,Specialty Chemicals
531111,Gothi Plascon (India) Ltd.,GOTHIPL,INE538G01018,Houseware
531112,BALU FORGE INDUSTRIES LIMITED,BALUFORGE,INE011E01029,Industrial Products
531119,Ceenik Exports (india) Ltd.,CEENIK,INE418D01010,Gems- Jewellery And Watches
531120,Patel Engineering Ltd,PATELENG,INE244B01030,Civil Construction
531126,Virtualsoft Systems Ltd.,VIRTUALS,INE237C01016,Software Products
531127,MENA MANI INDUSTRIES LIMITED,MENAMANI,INE148B01025,Non Banking Financial Company (NBFC)
531129,Inani Marbles & Industries Ltd.,INANI,INE635D01027,Other Construction Materials
531137,Gemstone Investments Ltd.,GEMSI,INE503D01027,Diversified Commercial Services
531144,El Forge Ltd.,ELFORGE,INE158F01017,Auto Components & Equipments
531146,Medicamen Biotech Ltd.,MEDICAMEQ,INE646B01010,Pharmaceuticals
531147,Alicon Castalloy Limited,ALICON,INE062D01024,Auto Components & Equipments
531153,Diligent Industries Limited,DILIGENT,INE650C01036,Edible Oil
531155,Epsom Properties Limited,EPSOMPRO,INE601F01016,Residential- Commercial Projects
531156,Alfavision Overseas (India) Ltd.,ALFAVIO,INE883B01027,Other Agricultural Products
531157,Organic Coatings Ltd.,ORGCOAT,INE412E01011,Specialty Chemicals
531158,Catvision Limited,CATVISION,INE660B01011,Trading & Distributors
531161,ABM Knowledgeware Ltd.,ABMKNO,INE850B01026,Software Products
531162,Emami Ltd,EMAMILTD,INE548C01032,Personal Care
531163,Kemistar Corporation Limited,KEMISTAR,INE971L01029,Specialty Chemicals
531169,SKP Securities Ltd.,SKPSEC,INE709B01016,Non Banking Financial Company (NBFC)
531173,Syschem (India) Ltd.,SYSCHEM,INE121D01036,Pharmaceuticals
531175,BLS Infotech Limited,BLSINFOTE,INE606B01022,Software Products
531176,Mefcom Capital Markets Ltd.,MEFCOMCAP,INE186C01023,Other Capital Market related Services
531178,Hemang Resources Limited,HEMANG,INE930A01010,Trading & Distributors
531179,Arman Financial Services Limited,ARMANFIN,INE109C01017,Non Banking Financial Company (NBFC)
531190,Tavernier Resources Limited,TAVERNIER,INE355H01015,Trading & Distributors
531198,Dhanada Corporatin Limited,DHANADACO,INE041F01015,Hotels & Resorts
531199,Glance Finance Ltd.,GLANCE,INE580D01017,Non Banking Financial Company (NBFC)
531201,Shilchar Technologies Ltd.,SHILCTECH,INE024F01011,Other Electrical Equipment
531203,TRADEWELL HOLDINGS LIMITED,TRADEWELL,INE819G01012,Consulting Services
531205,TINE AGRO LIMITED,TINEAGRO,INE179O01015,Trading & Distributors
531209,Nucleus Software Exports Ltd,NUCLEUS,INE096B01018,Software Products
531210,Colinz Laboratories ltd.,COLINZ,INE923C01011,Pharmaceuticals
531211,Wellness Noni Limited,WELLNESS,INE571H01017,Other Financial Services
531212,Nalin Lease Finance Ltd.,NLFL,INE606C01012,Non Banking Financial Company (NBFC)
531213,Manappuram Finance Limited,MANAPPURAM,INE522D01027,Non Banking Financial Company (NBFC)
531215,RTS Power Corporation Ltd.,RTSPOWR,INE005C01017,Other Electrical Equipment
531216,Comfort Intech Ltd,COMFINTE,INE819A01031,Breweries & Distilleries
531221,Mayur Floorings Ltd.,MAYURFL,INE262W01012,Other Construction Materials
531223,Anjani Synthetics Limited,ANJANI,INE364D01032,Other Textile Products
531225,XTGLOBAL INFOTECH LIMITED,XTGLOBAL,INE547B01028,Computers - Software & Consulting
531227,Deco-Mica Ltd.,DECOMIC,INE907E01010,Commodity Chemicals
531228,Rander Corporation Ltd.,RANDER,INE821D01031,Non Banking Financial Company (NBFC)
531233,Rasi Electrodes Ltd.,RASIELEC,INE822D01021,Industrial Products
531234,SCOOBEE DAY GARMENTS (INDIA) LIMITED,SCOOBEEDAY,INE962E01015,Garments & Apparels
531235,Citiport Financial Services Ltd.,CITIPOR,INE494D01011,Non Banking Financial Company (NBFC)
531237,Dhruva Capital Services Ltd.,DHRUVCA,INE972E01014,Non Banking Financial Company (NBFC)
531240,Shamrock Industrial Co. Ltd.,SHAMROIN,INE022F01015,Trading & Distributors
531241,LINC LIMITED,LINC,INE802B01019,Stationary
531246,Prima Industries Ltd.,PRIMAIN,INE723N01012,Edible Oil
531252,ANERI FINCAP LIMITED,ANERI,INE720D01019,Non Banking Financial Company (NBFC)
531253,India Gelatine & Chemicals Ltd.,INDGELA,INE342D01012,Specialty Chemicals
531254,Optimus Finance Limited,OPTIFIN,INE031G01014,Non Banking Financial Company (NBFC)
531255,Paragon Finance Ltd.,PARAGONF,INE015E01012,Non Banking Financial Company (NBFC)
